subject	total	semester
08.581	16	20112
08.581	84	20132
08.582	38	20102
08.582	51	20111
08.582	125	20131
08.583	32	20101
08.583	77	20112
08.583	83	20121
08.583	107	20132
08.583	88	20141
08.584	3	20092
08.584	6	20102
08.584	75	20122
08.585	48	20132
08.586	5	20092
08.586	30	20111
08.586	107	20131
08.587	25	20112
08.587	67	20121
08.587	125	20141
08.588	4	20092
08.588	7	20102
08.588	12	20111
08.588	37	20122
08.588	32	20131
08.589	47	20112
08.589	130	20132
08.590	10	20112
08.590	46	20121
08.590	58	20141
08.591	12	20102
08.591	111	20122
08.592	2	20091
08.592	15	20101
08.592	98	20121
08.592	111	20141
08.593	2	20092
08.593	13	20102
08.593	26	20111
08.593	35	20122
08.593	33	20131
08.594	3	20112
08.594	1	20121
08.594	14	20132
08.594	9	20141
08.595	42	20131
08.596	11	20112
08.596	31	20132
08.597	6	20122
08.598	4	20112
08.598	17	20132
08.599	16	20131
08.600	5	20101
08.600	15	20121
08.600	35	20141
08.601	10	20102
08.601	30	20122
08.602	22	20121
08.602	47	20141
