subject	total	semester
08.571	28	20092
08.571	46	20102
08.571	88	20111
08.571	54	20122
08.571	80	20131
08.572	1	20091
08.572	14	20101
08.572	41	20112
08.572	33	20121
08.572	31	20132
08.573	8	20102
08.573	13	20111
08.573	55	20131
08.574	7	20101
08.574	39	20112
08.574	32	20121
08.574	38	20132
08.575	3	20102
08.575	11	20111
08.575	39	20122
08.575	41	20131
08.576	14	20101
08.576	41	20112
08.576	56	20121
08.576	53	20132
08.577	2	20092
08.577	3	20102
08.577	7	20111
08.577	29	20122
08.577	44	20131
08.578	5	20101
08.578	6	20112
08.578	22	20121
08.578	26	20132
08.579	6	20102
08.579	14	20111
08.579	34	20122
08.579	45	20131
08.580	1	20102
08.580	16	20111
08.580	36	20122
08.580	35	20131
08.581	13	20112
08.581	70	20132
08.582	35	20102
08.582	39	20111
08.582	102	20131
08.583	23	20101
08.583	71	20112
08.583	71	20121
08.583	83	20132
08.584	3	20092
08.584	4	20102
08.584	52	20122
08.585	36	20132
08.586	5	20092
08.586	23	20111
08.586	90	20131
08.587	20	20112
08.587	51	20121
08.588	4	20092
08.588	7	20102
08.588	10	20111
08.588	31	20122
08.588	26	20131
08.589	42	20112
08.589	103	20132
08.590	9	20112
08.590	39	20121
08.591	10	20102
08.591	87	20122
08.592	2	20091
08.592	8	20101
08.592	78	20121
08.593	2	20092
08.593	10	20102
08.593	21	20111
08.593	28	20122
08.593	25	20131
08.594	3	20112
08.594	1	20121
08.594	7	20132
08.595	35	20131
08.596	6	20112
08.596	23	20132
08.597	6	20122
08.598	2	20112
08.598	9	20132
08.599	15	20131
08.600	3	20101
08.600	13	20121
08.601	7	20102
08.601	24	20122
08.602	21	20121
08.603	38	20131
08.604	18	20121
08.605	2	20092
08.605	11	20102
08.605	9	20111
08.605	30	20122
08.605	17	20131
08.606	2	20121
08.607	1	20122
08.610	1	20122
08.610	1	20131
08.611	6	20112
08.611	37	20132
09.550	25	20092
09.550	39	20102
09.550	41	20111
09.550	14	20122
09.550	18	20131
09.551	46	20091
09.551	54	20101
09.551	21	20112
09.551	32	20121
09.551	6	20132
09.552	7	20092
09.552	20	20102
09.552	22	20111
09.552	18	20122
09.552	18	20131
09.553	9	20091
09.553	4	20101
09.553	9	20112
09.553	13	20121
09.553	10	20132
09.554	14	20092
09.554	43	20102
09.554	37	20111
09.554	18	20122
09.554	30	20131
09.555	2	20091
09.555	27	20101
09.555	29	20112
09.555	21	20121
09.555	5	20132
09.556	4	20092
09.556	21	20102
09.556	27	20111
09.556	35	20122
09.556	18	20131
09.557	14	20091
09.557	27	20101
09.557	13	20112
09.557	15	20121
09.557	12	20132
09.558	14	20092
09.558	33	20102
09.558	49	20111
09.558	16	20122
09.558	21	20131
09.559	18	20101
09.559	21	20112
09.559	16	20121
09.559	11	20132
09.560	7	20091
09.560	13	20101
09.560	33	20112
09.560	16	20121
09.560	14	20132
09.561	18	20092
09.561	24	20102
09.561	16	20111
09.561	18	20122
09.561	26	20131
09.562	3	20091
09.562	21	20101
09.562	30	20112
09.562	25	20121
09.562	16	20132
09.563	10	20092
09.563	30	20102
09.563	24	20111
09.563	17	20122
09.563	18	20131
09.564	24	20112
09.564	15	20121
09.564	12	20132
09.565	3	20102
09.565	4	20111
09.565	11	20122
09.565	9	20131
09.566	15	20112
09.566	14	20121
09.566	11	20132
09.567	5	20092
09.567	4	20102
09.567	12	20111
09.567	11	20122
09.567	16	20131
09.568	10	20112
09.568	15	20121
09.568	25	20132
09.569	5	20102
09.569	10	20122
09.569	15	20131
09.570	12	20102
09.570	15	20111
09.570	21	20122
09.570	14	20131
09.571	1	20101
09.571	11	20112
09.571	8	20121
09.571	14	20132
09.572	7	20102
09.572	9	20111
09.572	9	20122
09.572	11	20131
09.573	29	20121
09.574	5	20102
09.574	8	20111
09.574	10	20122
09.574	18	20131
09.575	21	20112
09.575	16	20121
09.575	34	20132
09.576	4	20102
09.576	12	20111
09.576	13	20122
09.576	20	20131
09.577	2	20121
09.577	6	20132
09.578	9	20102
09.578	19	20111
09.578	24	20122
09.578	16	20131
09.579	12	20112
09.579	6	20121
09.579	12	20132
09.590	13	20102
09.590	13	20111
09.590	19	20122
09.590	10	20131
09.591	10	20132
09.593	9	20132
09.594	1	20102
09.594	5	20122
09.594	3	20131
09.596	13	20122
09.597	13	20132
09.598	14	20131
09.600	7	20131
09.603	6	20121
09.604	5	20131
09.605	2	20132
09.606	2	20131
09.607	6	20132
09.610	5	20132
09.611	5	20122
09.612	4	20132
09.614	1	20132
09.615	2	20122
09.615	2	20131
09.616	4	20112
09.616	7	20121
09.616	2	20132
09.617	6	20122
09.617	4	20131
10.500	237	20082
10.500	433	20091
10.500	462	20101
10.500	375	20112
10.500	373	20121
